month,food_distributed_pounds,unique_clients_served,total_households_served,food_received_pounds,food_discarded_pounds,distribution_capacity_pounds,staff_hours,truck_deliveries,volunteer_hours,pounds_per_client,capacity_utilization
2020-03,2875000,273,106,4486882,46816,5533520,14047,507,4611,10531.1,0.52
2020-04,4010000,434,148,5925194,61311,5132300,14565,467,1871,9239.6,0.781
2020-05,4805000,434,144,5399791,125945,5077840,14134,451,2148,11071.4,0.946
2020-06,6525000,627,232,4677059,199238,5569990,14539,545,3872,10406.7,1.171
2020-07,5690000,743,249,4658851,88715,5738540,14439,559,4439,7658.1,0.992
2020-08,6295000,963,336,5844402,204132,6034180,14833,513,5455,6536.9,1.043
2020-09,4665000,744,293,6585083,88329,6244100,15205,586,6077,6270.2,0.747
2020-10,5025000,1272,489,5656940,34627,6349300,15135,600,6583,3950.5,0.791
2020-11,6635000,1303,495,5965306,194053,6379370,15327,565,6258,5092.1,1.04
2020-12,2970000,709,221,6816975,45396,6432990,15629,618,6046,4189,0.462
2021-01,4715000,1035,361,5016436,72169,6483670,16097,562,5802,4555.6,0.727
2021-02,5170000,1001,344,5679868,36991,6588310,15711,580,7040,5164.8,0.785
2021-03,5830000,1060,351,5432472,85087,6740030,15848,600,7493,5500,0.865
2021-04,3865000,1239,430,4266150,77729,7028470,16097,633,8554,3119.5,0.55
2021-05,4705000,1871,596,5964067,92021,7070320,16362,643,8132,2514.7,0.665
2021-06,1155000,515,167,4330574,38943,7172490,16404,655,8351,2242.7,0.161
2021-07,3749014,1082,392,4407738,27044,7275180,16408,669,9030,3464.9,0.515
2021-08,3550973,1071,336,4805548,56300,7217540,16249,643,8795,3315.6,0.492
2021-09,3979212,927,292,4141401,42255,7151700,16495,655,8195,4292.6,0.556
2021-10,4534267,966,360,5038043,64099,7206960,16546,644,8492,4693.9,0.629
2021-11,4299565,1165,409,5145868,52496,7332000,16645,652,8967,3690.6,0.586
2021-12,4292023,1213,447,4701775,63576,7266960,16661,672,8511,3538.4,0.591
2022-01,4228480,944,349,4244353,44646,7249120,16317,667,8837,4479.3,0.583
2022-02,3977400,965,382,4152206,44052,7290890,16404,669,8957,4121.7,0.546
2022-03,3598780,888,303,4178693,57526,7266530,16643,673,8570,4052.7,0.495
2022-04,3894843,878,307,3822871,34538,7325330,16663,658,8824,4436,0.532
2022-05,3585502,1036,408,4134332,26212,7221690,16684,669,8067,3460.9,0.496
2022-06,3377262,1077,399,4316180,22823,7408960,17206,654,8658,3135.8,0.456
2022-07,3582022,960,306,4689891,58864,7388490,16734,672,8889,3731.3,0.485
2022-08,2927902,1043,390,4485595,50252,7357100,16840,660,8678,2807.2,0.398
2022-09,3176864,989,380,4955612,59669,7447330,16833,658,9436,3212.2,0.427
2022-10,3818106,905,318,4479853,31939,7366090,16809,674,8708,4218.9,0.518
2022-11,3975395,1133,355,5128173,32634,7360590,16684,647,8993,3508.7,0.54
2022-12,4365972,1224,458,4845034,24929,7453460,16866,698,9174,3567,0.586
2023-01,3391743,946,318,4940072,42019,7475320,16657,653,9539,3585.4,0.454
2023-02,3232912,1071,353,3733284,40689,7366880,16758,644,8858,3018.6,0.439
2023-03,4088751,733,274,3713167,33130,7499570,16742,687,9545,5578.1,0.545
2023-04,3573776,1006,334,3801752,35640,7478830,16848,681,9295,3552.5,0.478
2023-05,3654220,944,342,3184403,44714,7527230,17203,681,9084,3871,0.485
2023-06,2998990,910,309,3816113,32370,7481820,16597,684,9483,3295.6,0.401
2023-07,3255553,939,319,3715214,37671,7529460,17001,668,9455,3467,0.432
2023-08,3444597,770,267,4071478,52263,7431410,16676,652,9293,4473.5,0.464
2023-09,3258475,908,354,4140475,37121,7507980,16868,669,9498,3588.6,0.434
2023-10,4008935,952,308,5446694,61116,7550130,17123,658,9422,4211.1,0.531
2023-11,4008487,1188,436,5068848,69056,7563000,16990,687,9584,3374.1,0.53
2023-12,4093623,1026,390,4450370,64509,7568750,16840,672,9759,3989.9,0.541
2024-01,3393072,850,336,3614219,23386,7624850,16915,662,10028,3991.8,0.445
2024-02,4121721,872,299,4162805,59386,7589450,17145,674,9360,4726.7,0.543
2024-03,3554441,982,330,3430397,34033,7670340,16954,682,10240,3619.6,0.463
2024-04,3233630,932,371,4683526,35512,7584620,17117,674,9257,3469.6,0.426
2024-05,3790159,861,301,4415172,42347,7629270,17112,664,9745,4402,0.497
2024-06,2969595,942,354,3748178,55474,7694430,17028,691,9967,3152.4,0.386
2024-07,3390960,905,306,3243048,32191,7753480,17468,687,9928,3746.9,0.437
2024-08,2732853,972,370,4462303,36981,7660230,17263,669,9740,2811.6,0.357
